,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,churn,%night,%eve,avg duration,Midwest,Noncontinental,Northeast,Northwest,Southeast,Southwest
0,0,1,25,265.1,110,45.07,197.4,99,16.78,244.7,91,11.01,10.0,3,2.7,1,0,30,33,0.4242081447963801,1.0,0.0,0.0,0.0,0.0,0.0
1,0,1,26,161.6,123,27.47,195.5,103,16.62,254.4,103,11.45,13.7,3,3.7,1,0,31,31,0.5380212591986917,1.0,0.0,0.0,0.0,0.0,0.0
2,0,0,0,243.4,114,41.38,121.2,110,10.3,162.6,104,7.32,12.2,5,3.29,0,0,32,34,0.622154779969651,0.0,0.0,1.0,0.0,0.0,0.0
3,1,0,0,299.4,71,50.9,61.9,88,5.26,196.9,89,8.86,6.6,7,1.78,2,0,36,35,0.4442852024364028,1.0,0.0,0.0,0.0,0.0,0.0
4,1,0,0,166.7,113,28.34,148.3,122,12.61,186.9,121,8.41,10.1,3,2.73,3,0,34,34,0.7093046423590357,0.0,0.0,0.0,0.0,1.0,0.0
5,1,0,0,223.4,98,37.98,220.6,101,18.75,203.9,118,9.18,6.3,6,1.7,0,0,37,32,0.4892730359623399,0.0,0.0,0.0,0.0,1.0,0.0
6,0,1,24,218.2,88,37.09,348.5,108,29.62,212.6,118,9.57,7.5,7,2.03,3,0,38,34,0.4029257025535737,0.0,0.0,1.0,0.0,0.0,0.0
7,1,0,0,157.0,79,26.69,103.1,94,8.76,211.8,96,9.53,7.1,6,1.92,0,0,36,35,0.5700360245814791,1.0,0.0,0.0,0.0,0.0,0.0
8,0,0,0,184.5,97,31.37,351.6,80,29.89,215.8,90,9.71,8.7,4,2.35,1,0,34,30,0.3551004122888682,0.0,0.0,0.0,0.0,1.0,0.0
9,1,1,37,258.6,84,43.96,222.0,111,18.87,326.4,97,14.69,11.2,5,3.02,0,0,33,38,0.3618339529120198,0.0,0.0,1.0,0.0,0.0,0.0
10,0,0,0,129.1,137,21.95,228.5,83,19.42,208.8,111,9.4,12.7,6,3.43,4,1,34,25,0.5843926553672315,1.0,0.0,0.0,0.0,0.0,0.0
11,0,0,0,187.7,127,31.91,163.4,148,13.89,196.0,94,8.82,9.1,5,2.46,0,0,25,40,0.6744653628221532,0.0,0.0,1.0,0.0,0.0,0.0
12,0,0,0,128.8,96,21.9,104.9,71,8.92,141.1,128,6.35,11.2,2,3.02,1,0,43,24,0.7870864461045891,1.0,0.0,0.0,0.0,0.0,0.0
13,0,0,0,156.6,88,26.62,247.6,75,21.05,192.3,115,8.65,12.3,5,3.32,3,0,41,27,0.4660519698239732,0.0,0.0,0.0,1.0,0.0,0.0
14,0,0,0,120.7,70,20.52,307.2,76,26.11,203.0,99,9.14,13.1,6,3.54,4,0,40,31,0.38833412585195753,1.0,0.0,0.0,0.0,0.0,0.0
15,0,0,0,332.9,67,56.59,317.8,97,27.01,160.6,128,7.23,5.4,9,1.46,4,1,44,33,0.3599161839023789,0.0,0.0,1.0,0.0,0.0,0.0
